eid,doi,title,authors,year,journal,citations,abstract,agent,affiliation,search_type,confidence,final_confidence,is_duplicate
2-s2.0-85113352286,10.2196/30453,Digital orientation of health systems in the post-COVID-19 “New Normal” in the United States: Cross-sectional survey,Khuntia J.,2021,Journal of Medical Internet Research,8,,Agent1_DirectMentions,University of Colorado Denver,direct_mention,95,95,True
2-s2.0-85203420319,10.1097/JHM-D-23-00266,Associations between Integration and Patient Experience in Hospital-Based Health Systems: An Exploration of Horizontal and Vertical Forms of Integration,Torres J.S.,2024,Journal of Healthcare Management,1,,Agent1_DirectMentions,Tulane University,direct_mention,95,95,False
2-s2.0-85211931135,10.1177/11786329241304619,Does Physician-Hospital Vertical Integration Affect Hospital Output?,Upadhyay S.,2024,Health Services Insights,0,,Agent1_DirectMentions,"University of Nevada, Las Vegas",direct_mention,95,95,False
2-s2.0-85130609614,10.2196/34808,Valuing Diversity and Inclusion in Health Care to Equip the Workforce: Survey Study and Pathway Analysis,Khuntia J.,2022,Jmir Formative Research,18,,Agent1_DirectMentions,University of Colorado Denver,direct_mention,95,95,True
2-s2.0-85128121072,10.2196/32477,Competition and Integration of US Health Systems in the Post-COVID-19 New Normal: Cross-sectional Survey,Khuntia J.,2022,Jmir Formative Research,3,,Agent1_DirectMentions,University of Colorado Denver,direct_mention,95,95,True
2-s2.0-85133526512,10.2196/35317,Integration vs Collaborative Redesign Strategies of Health Systems’ Supply Chains in the Post-COVID-19 New Normal: Cross-sectional Survey across the United States,Khuntia J.,2022,Jmir Formative Research,6,,Agent1_DirectMentions,University of Colorado Denver,direct_mention,95,95,True
2-s2.0-85175220851,10.1136/bmj-2023-074908,Racial differences in low value care among older adult Medicare patients in US health systems: Retrospective cohort study,Ganguli I.,2023,BMJ,10,,Agent5_Citations,Brigham and Women's Hospital,citation_network,90,90,True
2-s2.0-85130642366,10.1161/CIRCOUTCOMES.121.008269,Influence of Hospital Characteristics on Hospital Transfer Destinations for Patients with Stroke,Zachrison K.S.,2022,Circulation Cardiovascular Quality and Outcomes,10,,Agent5_Citations,Harvard Medical School; Massachusetts General Hospital,citation_network,90,90,True
2-s2.0-85110518200,10.1007/s11701-021-01280-x,Surgeon satisfaction and outcomes of tele-proctoring for robotic gynecologic surgery,Artsen A.M.,2022,Journal of Robotic Surgery,17,,Agent5_Citations,Magee-Womens Research Institute,citation_network,90,90,False
2-s2.0-85133274201,10.1377/hlthaff.2022.00045,Hospital And Regional Characteristics Associated With Emergency Department Facility Fee Cash Pricing,Henderson M.A.,2022,Health Affairs,17,,Agent5_Citations,"University of Maryland, Baltimore County (UMBC)",citation_network,90,90,True
2-s2.0-85110687679,10.1007/s11606-021-07005-y,The Association of Readmission Reduction Activities with Primary Care Practice Readmission Rates,Spivack S.B.,2022,Journal of General Internal Medicine,2,,Agent5_Citations,Yale School of Medicine; Yale-New Haven Hospital,citation_network,90,90,False
2-s2.0-85139571680,10.1097/SLA.0000000000005490,Do we need to augment surgical judgment in emergency surgery?,Kelz R.R.,2022,Annals of Surgery,1,,Agent5_Citations,Penn Medicine,citation_network,90,90,False
2-s2.0-85143180974,10.1093/cid/ciac515,Harnessing the Power of Health Systems and Networks for Antimicrobial Stewardship,Buckel W.R.,2022,Clinical Infectious Diseases,12,,Agent5_Citations,Intermountain Healthcare,citation_network,90,90,False
2-s2.0-85160230430,10.1097/SLA.0000000000005802,Safety and Distribution of Opioid Prescribing by U.S. Surgeons,Waljee J.F.,2023,Annals of Surgery,10,,Agent5_Citations,University of Michigan Medical School,citation_network,90,90,True
2-s2.0-85146192973,10.1089/lgbt.2021.0391,Gender-Affirming Primary Care Access Among Rural Transgender and Gender Diverse Adults in Five Northeastern U.S. States,Almazan A.N.,2023,Lgbt Health,7,,Agent5_Citations,Harvard Medical School,citation_network,90,90,True
2-s2.0-85159783694,10.1093/ntr/ntad008,"Implementation, Maintenance, and Outcomes of an Electronic Referral to a Tobacco Quitline Across Five Health Systems",Tong E.K.,2023,Nicotine and Tobacco Research,3,,Agent5_Citations,UC Davis School of Medicine,citation_network,90,90,True
2-s2.0-85120075083,10.1001/jamanetworkopen.2021.36358,Representation of Women in the Leadership Structure of the US Health Care System,Odei B.C.,2021,JAMA Network Open,12,,Agent5_Citations,The Ohio State University Comprehensive Cancer Center,citation_network,90,90,True
2-s2.0-85150390319,10.1016/j.echo.2023.01.002,Variation in Cost of Echocardiography Within and Across United States Hospitals,Wei C.,2023,Journal of the American Society of Echocardiography,10,,Agent5_Citations,Stanford University School of Medicine,citation_network,90,90,True
2-s2.0-85166415907,10.1002/trc2.12408,"Dementia care navigation: Building toward a common definition, key principles, and outcomes",Kallmyer B.A.,2023,Alzheimer S and Dementia Translational Research and Clinical Interventions,19,,Agent5_Citations,Alzheimer's Association,citation_network,90,90,True
2-s2.0-85166783883,10.1377/hlthaff.2022.01319,Who’s accountable? Low-value care received by medicare beneficiaries outside of their attributed health systems,Ganguli I.,2023,Health Affairs,3,,Agent5_Citations,Brigham and Women's Hospital,citation_network,90,90,False
2-s2.0-85122831730,10.1097/MLR.0000000000001673,Survey of Information Exchange and Advanced Use of Other Health Information Technology in Primary Care Settings Capabilities In and Outside of the Safety Net,Cross D.A.,2022,Medical Care,10,,Agent5_Citations,School of Public Health,citation_network,90,90,False
2-s2.0-85105767840,10.1200/OP.20.01089,Fragmentation of Care Among Black Women With Breast Cancer and Comorbidities: The Role of Health Systems,Doose M.,2021,JCO Oncology Practice,20,,Agent5_Citations,National Cancer Institute (NCI); Rutgers Cancer Institute of New Jersey,citation_network,90,90,True
2-s2.0-85099565948,10.1007/s11606-020-06485-8,The Missed Opportunity of Primary Care Providers’ Online Biographies: a Content Analysis of US Health Systems in 2020,Perrault E.K.,2021,Journal of General Internal Medicine,2,,Agent5_Citations,Purdue University,citation_network,90,90,True
2-s2.0-85115926183,10.1377/hlthaff.2021.00001,Regulating Hospital Prices Based On Market Concentration Is Likely To Leave High-Price Hospitals Unaffected,Pany M.J.,2021,Health Affairs,7,,Agent5_Citations,Harvard Business School,citation_network,90,90,True
2-s2.0-85205298178,10.1097/SLA.0000000000006541,Characteristics of High-Quality Multi-Hospital Health Systems Performing Major Cancer Surgery,Schaefer S.L.,2024,Annals of Surgery,0,,Agent5_Citations,"University of Michigan, Ann Arbor; University of Michigan Medical School",citation_network,90,90,False
2-s2.0-85101483257,10.1001/jamanetworkopen.2020.37196,Assessment of Spanish Translation of Websites at Top-Ranked US Hospitals,Honeycutt C.C.,2021,JAMA Network Open,4,,Agent5_Citations,Trinity College of Arts & Sciences,citation_network,90,90,True
2-s2.0-85099417722,10.1377/hlthaff.2020.00812,"Geographic variation in the consolidation of physicians into health systems, 2016–18",Kimmey L.,2021,Health Affairs,14,,Agent5_Citations,Mathematica in Raleigh,citation_network,90,90,True
2-s2.0-85099409024,10.1377/hlthaff.2020.00100,Avoiding medicaid: Characteristics of primary care practices with no medicaid revenue,Spivack S.B.,2021,Health Affairs,16,,Agent5_Citations,Yale School of Medicine,citation_network,90,90,False
2-s2.0-105004352464,10.1111/1468-0009.70016,A Policy and Regulatory Framework to Promote Care Delivery Redesign and Production Efficiency in Health Care Markets,Scanlon D.P.,2025,Milbank Quarterly,0,,Agent5_Citations,Pennsylvania State University,citation_network,90,90,False
2-s2.0-85198292021,10.1097/JHM-D-23-00210,Leadership to Accelerate Healthcare's Digital Transformation: Evidence from 33 Health Systems,Lemak C.H.,2024,Journal of Healthcare Management,3,,Agent5_Citations,The University of Alabama at Birmingham,citation_network,90,90,True
2-s2.0-85204191424,10.1136/leader-2023-000969,Evolving role of the health system CIO: perspectives from 33 health systems,Kim D.H.,2024,BMJ Leader,0,,Agent5_Citations,Georgetown University,citation_network,90,90,False
2-s2.0-85147047824,10.1001/jama.2022.24032,Organization and Performance of US Health Systems,Beaulieu N.D.,2023,JAMA,36,,Agent5_Citations,Harvard Medical School,citation_network,90,90,False
2-s2.0-85145562188,10.1001/jamahealthforum.2022.4889,Performance of Physician Groups and Hospitals Participating in Bundled Payments among Medicare Beneficiaries,Liao J.M.,2022,JAMA Health Forum,4,,Agent5_Citations,University of Pennsylvania; University of Washington School of Medicine,citation_network,90,90,True
2-s2.0-85143645337,10.1001/jama.2022.20619,Association between Individual Primary Care Physician Merit-based Incentive Payment System Score and Measures of Process and Patient Outcomes,Bond A.M.,2022,JAMA,21,,Agent5_Citations,Weill Cornell Medicine,citation_network,90,90,True
2-s2.0-85139738916,10.1200/OP.22.00136,Trends in Medically Integrated Dispensing among Oncology Practices,Kanter G.P.,2022,JCO Oncology Practice,8,,Agent5_Citations,University of Pennsylvania; University of Southern California,citation_network,90,90,True
2-s2.0-85195534060,10.1186/s13722-024-00477-3,Using 42 CFR part 2 revisions to integrate substance use disorder treatment information into electronic health records at a safety net health system,Tillman A.R.,2024,Addiction Science and Clinical Practice,2,,Agent5_Citations,Denver Health,citation_network,90,90,False
2-s2.0-85205438678,10.1007/s11606-024-09028-7,"Leadership Practices, Organization Structure, and Other Factors Associated with Higher 2022–2023 US News and World Report Ranking",Sankisa D.,2024,Journal of General Internal Medicine,0,,Agent5_Citations,Sidney Kimmel Medical College,citation_network,90,90,False
2-s2.0-85161193713,10.1111/1475-6773.14172,Hospital-physician integration and clinical volume in traditional Medicare,Post B.,2024,Health Services Research,5,,Agent5_Citations,Northeastern University,citation_network,90,90,False
2-s2.0-85168162268,10.1007/s11606-023-08363-5,Association of the Range of Outpatient Services Provided by Primary Care Physicians with Subsequent Health Care Costs and Utilization,Rich E.C.,2023,Journal of General Internal Medicine,3,,Agent5_Citations,Mathematica,citation_network,90,90,False
2-s2.0-85156169275,10.2196/43802,Health-Related Data Sources Accessible to Health Researchers from the US Government: Mapping Review,Annis A.,2023,Journal of Medical Internet Research,1,,Agent5_Citations,Michigan State University; MSU College of Human Medicine,citation_network,90,90,True
2-s2.0-105004032689,10.5858/arpa.2024-0056-OA,The Anatomic Pathology Hospitalist Model A Novel Approach to Frozen Section Practice in a Tertiary Care Center,Chapel E.E.,2025,Archives of Pathology and Laboratory Medicine,0,,Agent5_Citations,University of Michigan Medical School,citation_network,90,90,False
2-s2.0-105003919850,10.1097/PRS.0000000000012164,Private Equity Investment in Plastic Surgery Clinics: A Scoping Review,Roth J.M.,2025,Plastic and Reconstructive Surgery,0,,Agent5_Citations,Icahn School of Medicine at Mount Sinai,citation_network,90,90,False
2-s2.0-105006819186,10.1111/1468-0009.70019,"State Health Care Cost Commissions: Their Priorities and How States’ Political Leanings, Commercial Hospital Prices, and Medicaid Spending Predict Their Establishment",Fulton B.D.,2025,Milbank Quarterly,0,,Agent5_Citations,The Nicholas C. Petris Center on Health Care Markets & Consumer Welfare,citation_network,90,90,False
2-s2.0-105007322937,10.1001/jamanetworkopen.2025.13274,Outcomes for Very Preterm Infants Across Health Systems,Rogowski J.A.,2025,JAMA Network Open,0,,Agent5_Citations,Pennsylvania State University,citation_network,90,90,False
2-s2.0-85187786751,10.1200/OP.23.00632,Private Payers and Cancer Care: Revisiting the Land of Opportunity,Kolodziej M.A.,2024,JCO Oncology Practice,1,,Agent5_Citations,ADVI Health,citation_network,90,90,False
2-s2.0-85185614467,10.1161/JAHA.123.031982,Assessment of Price Variation in Coronary Artery Bypass Surgery at US Hospitals,Wei C.,2024,Journal of the American Heart Association,1,,Agent5_Citations,Stanford University School of Medicine,citation_network,90,90,False
2-s2.0-85169404002,10.17226/26657.3,CARE SYSTEMS COVID-19 IMPACT ASSESSMENT: LESSONS LEARNED AND COMPELLING NEEDS,Balser J.,2023,Emerging Stronger from Covid 19 Priorities for Health System Transformation,0,,Agent5_Citations,Vanderbilt University Medical Center,citation_network,90,90,False
2-s2.0-85109674505,10.21037/jhmhp-21-13,The application of organizational slack to hospital system responsiveness during the COVID-19 pandemic,McHugh J.P.,2021,Journal of Hospital Management and Health Policy,4,,Agent5_Citations,Mailman School of Public Health,citation_network,90,90,False
2-s2.0-85099243840,10.1016/j.hjdsi.2020.100460,Estimates of ACO savings in the presence of provider and beneficiary selection,Ouayogodé M.H.,2021,Healthcare,9,,Agent5_Citations,University of Wisconsin School of Medicine and Public Health,citation_network,90,90,False
2-s2.0-85142443861,10.1111/1475-6773.14101,Differences between integrated and non-integrated plans in Medicare Advantage,Park S.,2023,Health Services Research,4,,Agent5_Citations,Korea University,citation_network,90,90,False
2-s2.0-85196261131,10.1016/j.lana.2024.100814,"Safety of SGLT2 inhibitors, DPP-4 inhibitors, and GLP-1 receptor agonists in US veterans with and without chronic kidney disease: a population-based study",Narasaki Y.,2024,Lancet Regional Health Americas,4,,Agent5_Citations,David Geffen School of Medicine at UCLA; VA Long Beach Healthcare System,citation_network,90,90,False
2-s2.0-85135369688,10.1093/jncics/pkac008,Thematic Analysis of Organizational Characteristics in NCI Community Oncology Research Program Cancer Care Delivery Research,Weaver S.J.,2022,Jnci Cancer Spectrum,1,,Agent5_Citations,National Cancer Institute (NCI),citation_network,90,90,False
2-s2.0-105004848231,10.1111/1475-6773.14642,Hospital Mergers and Acquisitions From 2010 to 2019: Creating a Valid Public Use Database,Oh H.,2025,Health Services Research,0,,Agent5_Citations,United States Department of Health and Human Services,citation_network,90,90,False
2-s2.0-85187535519,10.1097/SLA.0000000000006132,Impact of Hospital Affiliation With a Flagship Hospital System on Surgical Outcomes,Ramadan O.I.,2024,Annals of Surgery,1,,Agent5_Citations,University of Pennsylvania; University of Pennsylvania Perelman School of Medicine,citation_network,90,90,False
2-s2.0-85179320192,10.1007/s11606-023-08415-w,Mortality Among Older Medical Patients at Flagship Hospitals and Their Affiliates,Jain S.,2024,Journal of General Internal Medicine,1,,Agent5_Citations,The Children's Hospital of Philadelphia,citation_network,90,90,True
2-s2.0-85201491689,10.1001/jamanetworkopen.2024.25627,Hospital–Skilled Nursing Facility Integration and Participation in a Bundled Payment Initiative,Buxbaum J.D.,2024,JAMA Network Open,0,,Agent5_Citations,Harvard Medical School; Brown University,citation_network,90,90,True
2-s2.0-85219543611,10.1016/j.jtcvs.2024.12.032,Postoperative outcomes following lung resection performed at private equity–acquired hospitals,Williams J.E.,2025,Journal of Thoracic and Cardiovascular Surgery,0,,Agent5_Citations,"University of Michigan, Ann Arbor; University of Michigan Medical School",citation_network,90,90,False
2-s2.0-105007682408,10.1007/s10278-024-01374-6,Medical Imaging Data Strategies for Catalyzing AI Medical Device Innovation,Samala R.K.,2025,Journal of Imaging Informatics in Medicine,0,,Agent5_Citations,"Food and Drug Administration, Center for Devices and Radiological Health",citation_network,90,90,False
2-s2.0-86000695473,10.1001/jamahealthforum.2025.0046,"Enhanced COVID-19 Provider Relief, Hospital Finances, and Care for Medicare Inpatients",Buxbaum J.D.,2025,JAMA Health Forum,0,,Agent5_Citations,Harvard Medical School; Brown University,citation_network,90,90,True
2-s2.0-85217569562,10.1001/jamasurg.2024.5920,Esophagectomy Trends and Postoperative Outcomes at Private Equity-Acquired Health Centers,Williams J.E.,2025,JAMA Surgery,1,,Agent5_Citations,"University of Michigan, Ann Arbor; University of Michigan Medical School",citation_network,90,90,False
2-s2.0-105002323099,10.1016/j.jhealeco.2025.102997,Does physician-hospital vertical integration signal care-coordination? Evidence from mover-stayer analysis of commercially insured enrollees,Encinosa W.,2025,Journal of Health Economics,0,,Agent5_Citations,Georgetown University,citation_network,90,90,True
2-s2.0-105005965706,10.1371/journal.pone.0323381,Measure what matters: A survey-based examination of health equity tracking and measurement practices across healthcare systems in the United States,Roth H.,2025,Plos One,0,,Agent5_Citations,Sutter Health,citation_network,90,90,True
2-s2.0-85131136695,10.1016/j.ajem.2022.05.035,Trends in treatment costs of U.S. emergency department visits,Pickens G.,2022,American Journal of Emergency Medicine,15,,Agent2_Funding,IBM Watson Health,funding_acknowledgment,85,85,False
2-s2.0-85182694332,10.1017/ice.2023.283,The next frontier of healthcare-associated infection (HAI) surveillance metrics: Beyond device-associated infections,Advani S.D.,2024,Infection Control and Hospital Epidemiology,4,,Agent2_Funding,Duke University School of Medicine,funding_acknowledgment,85,85,False
2-s2.0-85169019559,10.2196/46159,Social Determinants of Health Documentation in Structured and Unstructured Clinical Data of Patients With Diabetes: Comparative Analysis,Mehta S.,2023,Jmir Medical Informatics,8,,Agent2_Funding,UCSF School of Medicine,funding_acknowledgment,85,85,False
2-s2.0-85115867159,10.1001/jamainternmed.2021.5531,Low-Value Care at the Actionable Level of Individual Health Systems,Ganguli I.,2021,JAMA Internal Medicine,49,,Agent2_Funding,Harvard Medical School,funding_acknowledgment,85,85,False
2-s2.0-85099537701,10.1001/jama.2020.24991,"Neonatal Abstinence Syndrome and Maternal Opioid-Related Diagnoses in the US, 2010-2017",Hirai A.H.,2021,JAMA Journal of the American Medical Association,378,,Agent2_Funding,Health Resources and Services Administration,funding_acknowledgment,85,85,False
2-s2.0-85166668318,10.1111/birt.12753,Effects of the COVID-19 early pandemic on delivery outcomes among women with and without COVID-19 at birth,Fingar K.R.,2023,Birth,0,,Agent2_Funding,International Business Machines,funding_acknowledgment,85,85,False
2-s2.0-85172796584,10.1017/ice.2023.138,Executive Summary: A Compendium of Strategies to Prevent Healthcare-Associated Infections in Acute-Care Hospitals: 2022 Updates,Yokoe D.S.,2023,Infection Control and Hospital Epidemiology,10,,Agent2_Funding,UCSF School of Medicine,funding_acknowledgment,85,85,False
2-s2.0-85129996893,10.1002/jhm.2769,Contributors to disparities in postpartum readmission rates between safety-net and non-safety-net hospitals: A decomposition analysis,Reid L.D.,2022,Journal of Hospital Medicine,9,,Agent2_Funding,Agency for Healthcare Research and Quality,funding_acknowledgment,85,85,False
2-s2.0-85111711444,10.1111/1475-6773.13709,Methods for estimating the cost of treat-and-release emergency department visits,Pickens G.T.,2021,Health Services Research,4,,Agent2_Funding,IBM Watson Health,funding_acknowledgment,85,85,False
2-s2.0-85201437404,10.1093/cid/ciad777,Reply to Diekema et al,Popovich K.J.,2024,Clinical Infectious Diseases,1,,Agent2_Funding,Rush Medical College,funding_acknowledgment,85,85,False
2-s2.0-105000437662,10.1016/j.jcpo.2025.100571,"Availability, affordability and health insurance coverage of breast cancer services in Iran - An analysis based on the Universal Health Coverage-Service Planning Delivery and Implementation tool",Goudarzi Z.,2025,Journal of Cancer Policy,0,,Agent4_Keywords,School of Health Management and Information Sciences,keyword_index,80,80,False
2-s2.0-85191003423,10.31354/globalce.v6i2.169,A Landscape Study to Determine the Innovation Mortality Rate in Health Technology Innovations Across the Globe,Ramesh S.,2024,Global Clinical Engineering Journal,1,,Agent4_Keywords,Kalam Institute of Health Technology,keyword_index,80,80,False
2-s2.0-85213836403,10.1177/15248399241302060,From Free Play to Farm Chores: Using the Youth Compendium to Characterize Physical Activity Behaviors Among Rural Children,Kramer-Kostecka E.N.,2024,Health Promotion Practice,0,,Agent4_Keywords,University of Minnesota Twin Cities,keyword_index,80,80,False
